Date,Product SKU,Product Name,Quantity,Unit Price,Customer Name,Region
2026-02-24,KL-MC-250,Kinglion Motorcycle - Cargo Special,7,1850000,Gicumbi Wholesalers,Western
2026-02-25,KL-MC-200,Kinglion Motorcycle - Model 200,9,1500000,Bugesera Estate,Southern
2026-02-26,KL-MC-200,Kinglion Motorcycle - Model 200,7,1500000,Gicumbi Wholesalers,Western
2026-02-26,KL-IS-003,Iron Sheet - Green 0.5mm,11,12500,Musanze Builders,Western
2026-02-26,KL-IS-005,Iron Sheet - Tile Profile 0.5mm,57,14500,Eastern Supplies,Eastern
2026-02-27,KL-MC-200,Kinglion Motorcycle - Model 200,8,1500000,Rusizi Engineering,Eastern
2026-02-27,KL-IS-003,Iron Sheet - Green 0.5mm,14,12500,Huye Traders,Southern
2026-02-28,KL-MC-150,Kinglion Motorcycle - Model 150,5,1250000,Rwanda Logistics,Western
2026-02-28,KL-MC-150,Kinglion Motorcycle - Model 150,8,1250000,Rusizi Engineering,Western
2026-03-01,KL-IS-005,Iron Sheet - Tile Profile 0.5mm,34,14500,Rwanda Logistics,Northern
2026-03-01,KL-IS-004,Iron Sheet - Charcoal 0.5mm,30,13000,Eastern Supplies,Northern
2026-03-02,KL-IS-001,Iron Sheet - Blue 0.5mm,45,12000,Rubavu Hardware,Eastern
2026-03-02,KL-MC-200,Kinglion Motorcycle - Model 200,8,1500000,City Delivery Services,Western
2026-03-03,KL-IS-003,Iron Sheet - Green 0.5mm,58,12500,Bugesera Estate,Western
2026-03-03,KL-IS-004,Iron Sheet - Charcoal 0.5mm,39,13000,Musanze Builders,Southern
2026-03-04,KL-IS-004,Iron Sheet - Charcoal 0.5mm,77,13000,Nyagatare Contractors,Eastern
2026-03-05,KL-IS-004,Iron Sheet - Charcoal 0.5mm,53,13000,Nyagatare Contractors,Kigali
2026-03-05,KL-IS-002,Iron Sheet - Red 0.4mm,81,10500,Lake Kivu Transport,Western
2026-03-06,KL-IS-002,Iron Sheet - Red 0.4mm,82,10500,Nyagatare Contractors,Eastern
2026-03-06,KL-IS-005,Iron Sheet - Tile Profile 0.5mm,19,14500,Huye Traders,Kigali
2026-03-06,KL-MC-250,Kinglion Motorcycle - Cargo Special,3,1850000,Rubavu Hardware,Western
2026-03-07,KL-IS-003,Iron Sheet - Green 0.5mm,98,12500,Gicumbi Wholesalers,Eastern
2026-03-07,KL-IS-003,Iron Sheet - Green 0.5mm,74,12500,Huye Traders,Northern
2026-03-08,KL-MC-200,Kinglion Motorcycle - Model 200,7,1500000,Gicumbi Wholesalers,Northern
2026-03-09,KL-IS-001,Iron Sheet - Blue 0.5mm,59,12000,Musanze Builders,Southern
2026-03-09,KL-IS-004,Iron Sheet - Charcoal 0.5mm,69,13000,Musanze Builders,Northern
2026-03-09,KL-MC-150,Kinglion Motorcycle - Model 150,8,1250000,Huye Traders,Northern
2026-03-10,KL-IS-001,Iron Sheet - Blue 0.5mm,37,12000,Gicumbi Wholesalers,Western
